zones,Region,Area,Population,Density,pop_rate,log_pop,price_psqm_mean_hdb,price_psqm_median_hdb,price_psqm_mean_condo,price_psqm_median_condo,Single_rate,Married_rate,female_male_ratio,15-_rate,15-24_rate,25-54_rate,25-34_rate,35-44_rate,45-54_rate,55-64_rate,65+_rate,Chinese_rate,Malai_rate,Indian_rate,Other_ethnic_rate,Condominiums and Other Apartments,HDB 1- and 2-Room Flats,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room and Executive Flats,HUDC Flats (excluding those privatised),Landed Properties,Others,total,HDB_rate,condo_rate,Landed Properties_rate,No_Qualification_rate,Secondary_rate,University_rate,working_rate,unemployed_rate,eco_inactive_rate,Buddhism_rate,Islam_rate,Christinaity_rate,No Religion_rate,Hinduism_rate,Sikhism_rate,Below 1000,1000 - 1499,1500 - 1999,2000 - 2499,2500 - 2999,3000 - 3999,4000 - 4999,5000 - 5999,6000 - 6999,7000 - 7999,8000 - 8999,9000 - 9999,10000 - 10999,11000 - 11999,12000 over,Below_1000_rate,Above_10000_rate,1000-10000_rate,Manufacture_rate,Construction_rate,Services_rate,gold_collar_rate,white_collar_rate_cnt_mgt,white_collar_rate_not_cnt_mgt,blue_collar_rate,trans_work_less_15m_rate,trans_work_more_60m_rate,trans_btw_15_60m_rate,public_trans_rate,private_trans_rate,no_trans_need_rate,trans_sch_less_15m_rate,trans_sch_more_60m_rate,trans_sch_btw_15_60m_rate,Owner_rate,tenant_rate,1PER_rate,2PER_rate,3-5_PER_rate,6_PER_rate,Total_hsh_inc,No Working Person_hsh_inc,Below 1000_hsh_inc,1000 - 1999_hsh_inc,2000 - 2999_hsh_inc,3000 - 3999_hsh_inc,4000 - 4999_hsh_inc,5000 - 5999_hsh_inc,6000 - 6999_hsh_inc,7000 - 7999_hsh_inc,8000 - 8999_hsh_inc,9000 - 9999_hsh_inc,10000 - 10999_hsh_inc,11000 - 11999_hsh_inc,12000 - 12999_hsh_inc,13000 - 13999_hsh_inc,14000 - 14999_hsh_inc,15000 - 17499_hsh_inc,17500 - 19999_hsh_inc,20000 over_hsh_inc,no_working_rate_hsh_inc,below_5000_rate_hsh_inc,20000_over_rate_hsh_inc,below_8000_rate_hsh_inc,above_8000_rate_hsh_inc,no_fam_nucleus_rate,one_nuc_one_gen_rate,one_nuc_two+_gen_rate,two+_fam_nucleus_rate,inc_prv_Total,inc_prv_Below 1000,inc_prv_1000 - 1499,inc_prv_1500 - 1999,inc_prv_2000 - 2499,inc_prv_2500 - 2999,inc_prv_3000 - 3999,inc_prv_4000 - 4999,inc_prv_5000 - 5999,inc_prv_6000 - 6999,inc_prv_7000 - 7999,inc_prv_8000 & Over,inc_prv_Below_1000_rate,inc_prv_8000 & Over_rate,inc_prv_1000_7999_rate,hsh_inc_prv_Total,hsh_inc_prv_NoWorkingPerson,hsh_inc_prv_Below1000,hsh_inc_prv_1000-1999,hsh_inc_prv_2000-2999,hsh_inc_prv_3000-3999,hsh_inc_prv_4000-4999,hsh_inc_prv_5000-5999,hsh_inc_prv_6000-6999,hsh_inc_prv_7000-7999,hsh_inc_prv_8000-8999,hsh_inc_prv_9000-9999,hsh_inc_prv_10000&Over,hsh_inc_prv_no_working_rate,hsh_inc_prv_below_2000_rate,hsh_inc_prv_10000_over_rate,HDB_1-Room,HDB_2-Room,HDB_3-Room,HDB_4-Room,HDB_5-Room,HDB_executive,HDB_studio_apt,HDB_Total
QUEENSTOWN,Central,20,98050,4801,0.0251236,4.991447598,6531,6346,15192,16062,0.334963325,0.533007335,1.114152345,0.13578884,0.09875552,0.450722601,0.139201124,0.159273384,0.152248093,0.130871136,0.183861903,0.789210687,0.088925148,0.081582704,0.04028146,11130,9020,33550,26140,14650,0,3710,1200,99400,0.838631791,0.111971831,0.037323944,0.147058824,0.701871658,0.298128342,0.601466993,0.028117359,0.371638142,0.312958435,0.100244499,0.249388753,0.201711491,0.046454768,0.001222494,4.1,4.2,3.5,3.2,3.1,4.8,4.8,3.8,3.2,2.3,2,1.6,1.5,1.1,5.8,0.083333333,0.170731707,0.741869919,0.067073171,0.030487805,0.892276423,0.176829268,0.587398374,0.410569106,0.386178862,0.166666667,0.042194093,0.791139241,0.63803681,0.220858896,0.096114519,0.387755102,0.034013605,0.585034014,0.892957746,0.101408451,0.211267606,0.270422535,0.461971831,0.05915493,35.5,6.6,0.8,2.5,2.4,1.8,2.2,1.7,1.9,1.7,1.5,1.3,1.2,1.1,1.2,0.8,1,1,0.9,4,0.185915493,0.321126761,0.112676056,0.422535211,0.394366197,0.298591549,0.135211268,0.529577465,0.036619718,46307,5710,4254,3477,3948,2987,5836,4385,3220,2600,1818,8073,0.123307491,0.174336493,0.70237761,34365,6642,1753,2832,2733,2601,2061,2174,1789,1525,1330,1068,7856,0.193278045,0.133420631,0.228604685,575,3246,14210,8794,3972,354,353,31504
RIVERVALLEY,Central,1,9190,6231,0.0023548,3.963315511,,,22745,22470,0.32835131,0.588597843,1.147465438,0.157725322,0.093347639,0.503218884,0.118025751,0.206008584,0.179184549,0.118025751,0.127682403,0.7,0.009782609,0.138043478,0.152173913,8500,0,0,0,0,0,760,80,9340,0,0.91006424,0.08137045,0.036412677,0.897167903,0.603169252,0.609553159,0.02449923,0.365947612,0.204930663,0.014637904,0.404776579,0.234206471,0.093374422,0.001232666,,,,,,,,,,,,,,,,,,,0.053842265,0.023255814,0.919110212,0.389534884,0.885237614,0.49570273,0.09908999,0.417541028,0.014527845,0.567931127,0.300025753,0.523049189,0.108678857,0.425064599,0.012919897,0.561369509,0.600800582,0.333333333,0.215065502,0.179767103,0.481077147,0.124090247,,,,,,,,,,,,,,,,,,,,,,,,,,0.312590975,0.114992722,0.537117904,0.0356623,3956,129,75,93,159,190,308,271,298,249,147,2037,0.032608696,0.514914055,0.45247725,2748,387,6,26,131,96,117,74,77,92,66,57,1618,0.140829694,0.011644833,0.588791849,,,,,,,,
ROCHOR,Central,2,14590,9034,0.0037384,4.164055292,6181,5970,19340,19540,0.339813375,0.550622084,0.979423868,0.113652114,0.088704089,0.452529453,0.128205128,0.171864172,0.152460152,0.146916147,0.198198198,0.717123288,0.043835616,0.202739726,0.03630137,2000,810,4890,4660,790,0,160,1010,14320,0.778631285,0.139664804,0.011173184,0.200725922,0.582932388,0.194479615,0.597978227,0.018973561,0.383048212,0.404354588,0.085458787,0.129471229,0.170762053,0.091135303,0.015085537,,,,,,,,,,,,,,,,,,,0.082444733,0.041612484,0.865929779,0.141612484,0.490507152,0.348894668,0.49479844,0.34865486,0.030688117,0.620657023,0.522210471,0.182707562,0.207826547,0.337612934,0.053732763,0.608178792,0.783716949,0.189081225,0.218565722,0.236827088,0.467947499,0.076469469,,,,,,,,,,,,,,,,,,,,,,,,,,0.298268975,0.140954917,0.492105764,0.068670344,7690,950,770,683,825,623,1099,791,504,345,241,858,0.123537061,0.111573472,0.764759428,5257,888,253,378,429,512,464,386,273,252,203,203,1012,0.168917634,0.120030436,0.192505231,2075,1316,4739,3529,903,9,0,12571
SELETAR,North-East,10,270,26,0.0000692,2.431363764,,,,,,,1.2,0.136363636,0.136363636,0.545454545,0.045454545,0.272727273,0.227272727,0.181818182,0,0.62962963,,0.148148148,0.222222222,0,0,0,0,0,0,230,0,230,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMBAWANG,North,12,76530,6203,0.0196095,4.883831713,4097,4084,8981,8764,0.285053929,0.645608629,1.020125457,0.193427352,0.124595679,0.491396041,0.144650019,0.189934015,0.156812007,0.114115668,0.076465261,0.727688488,0.134849079,0.093950085,0.043512348,2870,2260,1040,29080,37700,0,3750,530,77230,0.907419397,0.037161725,0.048556261,0.085910653,0.76975945,0.26975945,0.728813559,0.016949153,0.252696456,0.340523883,0.13559322,0.189522342,0.200308166,0.038520801,0.006163328,3.2,3.6,3,4.1,2.6,6.6,4.4,4.5,3.7,3.2,2.2,1.7,1.4,0.7,2.3,0.067653277,0.093023256,0.837209302,,,,0.131078224,0.543340381,0.412262156,0.427061311,0.11038961,0.142857143,0.746753247,0.648305085,0.203389831,0.069915254,0.427777778,0.122222222,0.45,0.956709957,0.038961039,0.060606061,0.186147186,0.632034632,0.121212121,23.1,0.7,0.1,0.5,1.1,1.2,1.2,2,1.5,1.6,1.7,1.4,1.6,1.2,0.9,1,0.8,1.8,1,1.9,0.03030303,0.264069264,0.082251082,0.398268398,0.575757576,0.077922078,0.134199134,0.722943723,0.064935065,37948,3381,2899,3347,3496,3226,6073,4546,3509,2146,1643,3683,0.089095605,0.097053863,0.813876884,20613,829,317,839,1547,1795,1996,2072,1885,1525,1390,1047,5370,0.040217339,0.056081114,0.260515209,321,768,349,8447,7556,2870,0,20311
SENGKANG,North-East,11,206680,19511,0.0529581,5.315298453,4648,4549,10214,10142,0.249156355,0.686726659,1.032598629,0.207809368,0.10953162,0.498860944,0.167896847,0.193457263,0.137506834,0.107663568,0.0761345,0.776998258,0.109251016,0.088058835,0.025691891,14360,6280,9060,94010,93450,0,1600,620,219380,0.924423375,0.065457198,0.007293281,0.110555903,0.742660837,0.292941911,0.699100112,0.024746907,0.276152981,0.398200225,0.107986502,0.14735658,0.192913386,0.05568054,0.001124859,7.5,7.9,7.7,9.9,8,16.4,14.2,11.1,8.8,7.4,6.2,3.7,4,2.3,9.3,0.060337892,0.125502816,0.814963797,0.102172164,0.048270314,0.837489944,0.144006436,0.567980692,0.423974256,0.40305712,0.092851274,0.077239113,0.829909614,0.625302176,0.234488316,0.066075745,0.439516129,0.060483871,0.497983871,0.962848297,0.035603715,0.046439628,0.207430341,0.650154799,0.09752322,64.6,2.2,0.6,2.5,3.9,3.2,4.1,3.9,4.1,4.8,4,3.9,3.2,3.4,3.4,2.3,2.1,4.5,2.7,6,0.034055728,0.281733746,0.092879257,0.419504644,0.549535604,0.06501548,0.160990712,0.713622291,0.058823529,88047,7501,6695,7274,8422,6933,13515,10326,7734,5865,3949,9833,0.085193135,0.11167899,0.803127875,47787,1800,558,2333,3488,4025,4005,4421,4026,3831,3428,2832,13040,0.037667148,0.060497625,0.272877561,685,1479,3341,29405,23134,4462,541,63047
SERANGOON,North-East,10,120670,11945,0.0309195,5.081599313,5021,5000,13272,13638,0.354661792,0.55393053,1.06997587,0.12256453,0.135553705,0.422231474,0.139134055,0.130308077,0.152789342,0.168193172,0.151457119,0.84073583,0.04284057,0.088995691,0.027427909,14720,1200,10900,34380,22390,0,35360,1030,119980,0.574012335,0.122687115,0.294715786,0.107505071,0.778904665,0.332657201,0.623400366,0.02285192,0.353747715,0.287934186,0.067641682,0.274223035,0.198354662,0.054844607,0.003656307,4.6,5.9,3.9,4.4,3.2,8.7,6.5,6.1,3.8,2.8,2.2,1.8,1.9,1.7,10.7,0.06744868,0.209677419,0.7228739,0.080645161,0.048387097,0.860703812,0.228739003,0.627565982,0.398826979,0.332844575,0.125574273,0.058192956,0.816232772,0.560939794,0.328928047,0.079295154,0.346846847,0.072072072,0.581081081,0.930769231,0.058974359,0.102564103,0.207692308,0.569230769,0.123076923,39,4.5,0.6,1.5,1.5,1.6,1.9,2.2,1.7,1.8,1.8,1.7,1.2,1.5,1.3,1.3,0.7,2.4,1.5,8.3,0.115384615,0.238461538,0.212820513,0.328205128,0.556410256,0.156410256,0.115384615,0.658974359,0.069230769,62322,6381,4769,4292,4882,4515,8147,5755,4632,3444,2572,12934,0.1023876,0.20753506,0.690093386,35986,3669,863,1853,2299,2448,2626,2533,2152,1690,1822,1548,12484,0.101956316,0.075473795,0.346912688,272,324,4543,10231,3753,2365,0,21488
SIMPANG,North,5,0,0,0.0000000,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORERIVER,Central,1,2720,2842,0.0006970,3.434568904,,,19472,19399,0.361050328,0.554339898,1.057553957,0.192307692,0.066433566,0.576923077,0.118881119,0.27972028,0.178321678,0.083916084,0.08041958,0.6875,0.003676471,0.080882353,0.227941176,2680,0,0,0,0,0,0,170,2850,0,0.940350877,0,0.028287462,0.951070336,0.695718654,0.656455142,0.004376368,0.33916849,0.208606856,0.033552152,0.40408461,0.299781182,0.039387309,0,,,,,,,,,,,,,,,,,,,0.066666667,0,0.907777778,0.465555556,0.961111111,0.495555556,0.038888889,0.560587515,0.009791922,0.429620563,0.268018018,0.528153153,0.13963964,0.567307692,0,0.427884615,0.587719298,0.357142857,0.484962406,0.204260652,0.284461153,0.026315789,,,,,,,,,,,,,,,,,,,,,,,,,,0.533834586,0.187969925,0.259398496,0.01754386,900,41,0,0,15,20,45,43,72,52,50,562,0.045555556,0.624444444,0.33,798,117,19,0,9,25,24,37,29,19,34,12,472,0.146616541,0.023809524,0.591478697,,,,,,,,
SOUTHERNISLANDS,Central,6,1480,244,0.0003792,3.170261715,,,20279,19245,,,1,0.185185185,0.111111111,0.518518519,0.092592593,0.172839506,0.25308642,0.12962963,0.055555556,0.547297297,0.013513514,0.101351351,0.337837838,1010,0,0,0,0,0,570,20,1600,0,0.63125,0.35625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRAITSVIEW,Central,1,0,0,0.0000000,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNGEIKADUT,North,16,850,53,0.0002178,2.929418926,,,7692,6963,,,1.111111111,0.105263158,0.105263158,0.368421053,0.118421053,0.105263158,0.144736842,0.118421053,0.302631579,0.835294118,,0.129411765,0.035294118,0,0,0,0,0,0,670,130,800,0,0,0.8375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMPINES,East,21,261230,12506,0.0669355,5.41702305,4572,4523,9820,9353,0.344640585,0.581897873,1.038706632,0.139036814,0.14582851,0.447441537,0.151308173,0.137879139,0.158254226,0.158833063,0.108860076,0.671681213,0.214400551,0.082529475,0.031388761,25130,4920,34520,101800,87010,0,4530,1210,259120,0.880866008,0.096982093,0.017482248,0.116876819,0.73957323,0.243452958,0.659473457,0.028916703,0.31160984,0.306862322,0.235217954,0.169615883,0.159689253,0.037116962,0.005610703,13,12.7,10.5,11.7,10.3,20.6,16.9,12.8,10.1,7.1,5.6,3.4,3.7,2.6,11.6,0.085078534,0.117146597,0.796465969,0.095549738,0.043193717,0.851439791,0.135471204,0.515052356,0.379581152,0.44960733,0.148296593,0.10487642,0.746826987,0.597112861,0.230971129,0.080052493,0.351247601,0.140115163,0.508637236,0.952440551,0.043804756,0.101376721,0.187734668,0.596996245,0.112640801,79.9,5.3,1.4,3.4,4.1,4.7,5.2,4.9,5,4.9,4.2,4.8,4.2,3.6,2.8,2.5,3,4.6,3.8,7.6,0.066332916,0.296620776,0.095118899,0.420525657,0.514392991,0.146433041,0.120150188,0.662077597,0.07008761,131051,14180,12057,11534,13252,11525,19380,13511,9446,6743,4568,14853,0.10820215,0.113337556,0.778445033,73591,5294,1812,4646,5922,6302,6235,6142,5625,5011,4418,3729,18454,0.071938145,0.087755296,0.25076436,775,740,13107,28631,17312,5846,649,67060
TANGLIN,Central,8,19000,2492,0.0048684,4.278753601,6588,6428,19913,19381,0.25,0.666666667,1.15536105,0.175634518,0.102538071,0.466497462,0.105076142,0.183248731,0.178172589,0.124873096,0.130456853,0.745263158,0.01,0.101578947,0.143157895,14730,0,40,210,250,0,4160,280,19670,0.02541942,0.748856126,0.211489578,0.015267176,0.977099237,0.72519084,0.625,0,0.368055556,0.194444444,0.020833333,0.416666667,0.222222222,0.104166667,0,0.6,0.1,0,0.3,0.1,0.4,0.8,0.3,0.2,0.5,0.4,0.1,0.3,0.1,4.8,0.066666667,0.577777778,0.355555556,0.1,0,0.9,0.555555556,0.933333333,0.377777778,0.044444444,0.352941176,0.011764706,0.635294118,0.280898876,0.617977528,0.056179775,0.424242424,0.03030303,0.545454545,0.7,0.271428571,0.171428571,0.185714286,0.542857143,0.1,7,1,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.2,0,0.2,0.4,0,3.6,0.142857143,0.142857143,0.514285714,0.2,0.714285714,0.228571429,0.2,0.528571429,0.028571429,8025,343,122,124,218,276,614,542,599,355,252,4581,0.042741433,0.570841121,0.386542056,5588,737,84,63,122,138,155,165,129,121,214,114,3546,0.131889764,0.026306371,0.634574087,,,,,,,,
TENGAH,West,7,10,1,0.0000026,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAPAYOH,Central,8,124940,15298,0.0320137,5.096701502,5460,5209,14410,14686,0.343836886,0.543095459,1.091867982,0.128334418,0.108815875,0.429082628,0.125975927,0.149723487,0.153383214,0.14964216,0.184124919,0.818167267,0.079391757,0.07434974,0.028091236,8390,11400,37460,30610,24730,2850,5840,1500,122780,0.871884672,0.068333605,0.04756475,0.1525941,0.683621567,0.260427263,0.638554217,0.026876738,0.334569045,0.34476367,0.075996293,0.227988879,0.201112141,0.050046339,0.000926784,6.3,6.3,5,5.2,4.9,8.4,7.1,5.4,3.6,2.9,2.5,1.9,1.9,1.4,6.1,0.091436865,0.136429608,0.772133527,0.084179971,0.046444122,0.863570392,0.155297533,0.53701016,0.381712627,0.438316401,0.166666667,0.040540541,0.792792793,0.655523256,0.186046512,0.103197674,0.32038835,0.058252427,0.626213592,0.853828306,0.141531323,0.174013921,0.269141531,0.487238979,0.069605568,43.1,6,1.6,3.8,3.1,2.6,2.8,1.9,2.3,1.9,1.7,2.3,1.2,1.1,0.8,1.1,0.8,2.1,1.3,4.7,0.139211137,0.366589327,0.109048724,0.464037123,0.39675174,0.257540603,0.164733179,0.535962877,0.041763341,62125,8776,5956,5396,5762,4745,8767,5968,4325,2825,2130,7475,0.141263581,0.120321932,0.738414487,42977,7132,2894,3914,3850,3425,3052,2501,2254,2056,1924,1518,8456,0.165949229,0.158410312,0.196756405,1168,3654,15122,9756,6017,854,300,36871
TUAS,West,30,70,2,0.0000179,1.84509804,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTERNISLANDS,West,39,0,0,0.0000000,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTERNWATERCATCHMENT,West,69,900,13,0.0002306,2.954242509,,,,,,,1.216216216,0.158536585,0.146341463,0.475609756,0.12195122,0.195121951,0.158536585,0.134146341,0.085365854,0.820224719,,0.101123596,0.078651685,0,0,0,0,0,0,0,800,800,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODLANDS,North,14,250290,18424,0.0641324,5.398443498,3940,3916,8687,8249,0.315998019,0.607231303,0.989960159,0.166573236,0.164491071,0.471690558,0.144229999,0.154080243,0.173380316,0.120885721,0.076359414,0.614431836,0.248961163,0.111115551,0.02549145,11200,7600,19020,105810,104460,0,600,960,249650,0.948888444,0.044862808,0.002403365,0.11036036,0.716779279,0.193693694,0.667657256,0.026250619,0.306092125,0.339772164,0.228330857,0.126300149,0.142644874,0.063397722,0.003467063,10.9,11.9,12.3,13,11,18.2,14.9,11.4,9.3,6.1,4.9,3,2.2,1,4.8,0.080860534,0.059347181,0.860534125,0.165430267,0.071216617,0.75,0.09272997,0.447329377,0.354599407,0.511869436,0.130204391,0.158970477,0.710825132,0.615727003,0.198071217,0.080118694,0.401420959,0.072824156,0.525754885,0.936079545,0.0625,0.083806818,0.188920455,0.598011364,0.129261364,70.4,4.5,1.1,3.5,5.1,3.7,6.2,5.5,5.5,4.9,4.5,4.2,3.4,2.3,2.6,2,2.1,3.3,2.4,3.8,0.063920455,0.356534091,0.053977273,0.504261364,0.434659091,0.123579545,0.134943182,0.663352273,0.078125,121587,13616,12090,13356,14055,11385,18991,12570,8264,5643,3472,8145,0.111985656,0.06698907,0.821025274,68279,4249,1779,5266,6722,6898,7096,6192,5640,4566,4242,3162,12467,0.062229968,0.103179601,0.182589083,1603,1284,6348,27859,19639,6191,855,63779
YISHUN,North,21,201970,9507,0.0517512,5.305286865,4232,4215,10457,10411,0.306442252,0.597214161,1.021094976,0.15199767,0.127627555,0.474246323,0.168260595,0.151220933,0.154764794,0.144036118,0.102092335,0.704525201,0.168036439,0.100158432,0.027279929,11570,4920,39720,99140,44000,0,5430,1070,205850,0.912217634,0.056205975,0.026378431,0.146590185,0.680050988,0.197578075,0.692396982,0.022054556,0.284968079,0.352292513,0.179338363,0.121300058,0.156703424,0.071967499,0.000580383,10.3,13.1,10.3,10.2,9,18,12.3,10.3,5.8,4.6,4.6,2.8,2.2,1.3,4.5,0.086336966,0.067057837,0.846605197,0.109807209,0.06789606,0.808885163,0.109807209,0.450963956,0.341156748,0.510477787,0.130360206,0.124356775,0.746140652,0.626890756,0.195798319,0.097478992,0.406593407,0.098901099,0.494505495,0.945945946,0.049284579,0.112877583,0.220985692,0.575516693,0.090620032,62.9,4.9,0.9,3.9,4.8,4.3,4.5,4.6,4.2,4,4.9,3.6,2.7,2.8,1.9,1.7,1.2,2.7,1.9,3.4,0.077901431,0.365659777,0.054054054,0.496025437,0.426073132,0.155802862,0.146263911,0.621621622,0.074721781,93894,11485,10715,10648,10374,8790,13619,9033,5965,3828,2565,6872,0.122318785,0.073188915,0.8044923,53576,4367,1534,4817,5820,5294,5295,4745,3850,3267,2738,2229,9620,0.081510378,0.118541884,0.179558011,1038,1200,14530,28155,9169,2741,705,57538
