date,price
19780104,277.5
19780113,276.75
19780124,273.75
19780202,268.5
19780213,267.5
19780223,258.75
19780306,270
19780315,280
19780327,303
19780405,321.75
19780414,322.25
19780425,304.75
19780504,297
19780515,321.5
19780524,329.5
19780605,329.5
19780614,309.5
19780623,321.25
19780705,326.75
19780714,312
19780725,311.5
19780803,312.75
19780814,324.5
19780823,329.75
19780901,339.75
19780913,335.25
19780922,339
19781003,346.5
19781012,350.25
19781023,335
19781101,358
19781113,367.25
19781122,367.75
19781204,367.75
19781213,352.25
19781222,340
19790104,332.25
19790115,354.75
19790124,352
19790202,354.5
19790213,362.25
19790223,364
19790306,381.75
19790315,376.75
19790326,346.75
19790404,336.25
19790416,336.5
19790425,345.25
19790504,365
19790515,372
19790524,359.5
19790605,373.75
19790614,441
19790625,467.5
19790705,463.5
19790716,444.75
19790725,427.5
19790803,411.5
19790814,431.75
19790823,437.25
19790904,427
19790913,446
19790924,452.75
19791003,472.25
19791012,439.5
19791023,446.75
19791101,406.5
19791112,431.25
19791121,438.5
19791203,430.25
19791212,432
19791221,454.25
19800104,445.5
19800117,453.75
19800128,456.5
19800206,460.75
19800215,446.25
19800227,436.25
19800307,436.75
19800318,416.25
19800327,409.5
19800408,409.75
19800417,385.5
19800428,387.5
19800507,423
19800516,407.5
19800528,411.5
19800606,394
19800617,404.25
19800626,425
19800708,434.25
19800717,435.75
19800728,455
19800806,459.25
19800815,444.5
19800826,445.75
19800905,470
19800916,473.5
19800925,508
19801006,507.5
19801015,521.75
19801024,538
19801105,537
19801114,519.25
19801125,503
19801205,489
19801216,470
19801229,486.5
19810108,497.25
19810119,493.25
19810128,470.5
19810206,472
19810218,459.75
19810227,447.25
19810310,426.25
19810319,427
19810330,428.25
19810408,446.25
19810420,443.25
19810429,427.75
19810508,409
19810519,398
19810529,412.25
19810609,407
19810618,399.25
19810629,365.5
19810709,394.5
19810720,382.75
19810729,410.5
19810807,407
19810818,404
19810827,387.25
19810908,391.25
19810917,400
19810928,425.75
19811007,429
19811016,431.5
19811027,437.75
19811105,438
19811116,436.75
19811125,411.25
19811207,401
19811216,377
19811228,393.25
19820107,400.25
19820118,391.5
19820127,379.25
19820205,370.5
19820217,364
19820226,356
19820309,351.5
19820318,351
19820329,365
19820407,365.5
19820419,377.25
19820428,365.75
19820507,343
19820518,352
19820527,354.5
19820608,344.25
19820617,337.75
19820628,341.5
19820708,331.75
19820719,338.75
19820728,345.25
19820806,343.5
19820817,338.25
19820826,346.25
19820907,329.75
19820916,323
19820927,334.75
19821006,317.75
19821015,308
19821026,309.5
19821105,334.75
19821116,335.5
19821126,336.75
19821207,324.75
19821216,311
19821228,335.25
19830107,331.75
19830118,344.25
19830127,334.75
19830207,341.25
19830216,344.75
19830228,306.25
19830309,317
19830318,340.5
19830329,359
19830408,363.75
19830419,341
19830428,349
19830509,354.5
19830518,348.25
19830527,347.25
19830608,344.25
19830617,349
19830628,344.75
19830708,335.75
19830719,346
19830728,371.25
19830808,376.75
19830817,390.5
19830826,387.25
19830907,382.25
19830916,364
19830927,376
19831006,371.75
19831017,369.5
19831026,356.75
19831104,358.5
19831115,346.75
19831125,341.75
19831206,339.25
19831215,341.75
19831227,364.75
19840106,358.75
19840117,355
19840126,331.25
19840206,331.5
19840215,328.25
19840227,328.75
19840307,351.5
19840316,357.5
19840327,360.5
19840405,368.5
19840416,368
19840426,356.5
19840507,361.5
19840516,364
19840525,365.75
19840606,355.75
19840615,349.75
19840626,348.25
19840706,344.75
19840717,336.5
19840726,343.75
19840806,352
19840815,347.5
19840824,346.25
19840905,346.5
19840914,339.25
19840925,350.75
19841004,346.25
19841015,346.5
19841024,364.5
19841102,360.75
19841113,354.25
19841123,361.75
19841204,351.75
19841213,340.5
19841224,345.25
19850104,341.5
19850115,353.75
19850124,344.5
19850204,358.25
19850213,353.25
19850225,345.75
19850306,349.25
